smoker,complications,ssn
False,2,670-18-6875
False,1,117-52-3454
False,2,751-43-6257
True,10,844-92-1943
False,1,421-81-5857
False,5,527-20-0150
True,8,709-91-9697
False,3,582-90-4020
,9,551-10-6630
True,9,530-73-1817
False,2,351-52-2403
False,6,432-23-4017
True,10,458-83-1719
False,3,872-62-5569
True,7,223-06-0077
False,0,311-26-7830
True,7,741-93-8258
False,1,629-47-1089
False,7,657-69-6892
False,3,657-91-9085
False,3,506-60-2619
,3,550-83-6815
False,6,215-11-3793
False,9,181-72-1543
False,0,824-47-5103
True,9,340-22-2681
True,3,853-02-0568
False,5,630-12-1329
False,5,229-96-1572
True,8,132-48-1686
False,2,888-02-3075
,9,819-49-2589
True,9,118-95-4547
True,10,375-12-3144
False,6,667-51-4751
False,4,166-53-0082
False,2,716-33-8942
True,8,755-04-4013
True,7,397-47-1680
True,8,192-83-9654
True,8,617-21-4898
True,4,158-02-4468
True,8,413-42-5774
False,6,512-95-4473
False,0,453-12-2767
True,9,608-88-6768
True,9,178-93-5755
True,8,402-30-9370
False,4,259-80-6060
True,0,797-41-8609
True,9,509-77-9186
False,1,242-55-2069
False,7,696-46-0372
True,3,325-65-1771
False,4,619-65-6243
False,2,364-43-6353
False,5,535-21-6955
False,6,260-37-3239
False,6,685-18-8668
False,4,877-50-4332
False,8,824-70-4832
False,1,670-70-2641
False,1,715-27-8581
False,6,335-40-6249
False,6,425-44-1164
True,9,362-02-7471
True,9,406-09-2794
True,8,819-10-8669
False,5,224-59-2080
True,10,856-03-8468
False,0,762-97-0954
False,3,576-42-4740
False,3,797-10-2121
False,5,356-80-9158
False,2,839-11-3877
,1,636-73-2206
False,0,623-43-7910
True,9,395-26-0611
True,8,450-54-2615
True,7,499-11-3624
False,1,350-86-4205
True,8,120-76-2407
True,7,472-58-2794
False,5,605-75-5720
True,7,463-35-7973
False,5,287-02-3026
False,5,218-97-9861
False,6,180-30-2023
True,10,410-58-0690
True,8,715-63-2361
False,0,289-74-0302
,4,365-75-3613
False,3,274-49-6807
True,9,259-28-7458
True,10,185-74-8912
False,3,734-43-7772
False,0,493-14-1851
False,5,591-33-9148
True,9,635-73-3101
,4,523-48-4063
False,6,879-79-3682
True,10,746-30-5021
False,1,657-90-9499
,10,143-73-4804
True,9,511-49-7711
False,5,420-66-3587
True,0,763-96-6856
False,5,135-20-4063
,1,216-65-3529
True,7,192-70-8131
True,9,741-43-9632
False,6,100-63-2591
True,10,880-82-7829
False,5,647-96-7056
False,6,119-43-7917
False,5,194-27-3454
True,10,796-22-1376
False,4,278-32-8352
False,2,686-85-9238
False,2,184-19-9892
False,2,576-83-7504
False,2,334-74-5759
True,8,763-07-7217
True,7,580-56-1309
True,8,136-74-4644
False,4,491-35-3718
False,0,655-93-4362
False,6,611-18-3613
False,3,680-85-8073
True,9,558-28-6241
True,8,697-77-5126
False,6,566-98-9558
False,6,754-64-0535
True,10,603-66-7193
True,9,681-95-3538
False,2,696-14-8911
False,5,440-94-8751
False,5,723-66-0403
False,1,623-29-3437
True,9,243-35-5275
True,7,314-91-0866
True,2,230-56-8934
False,3,464-68-5193
True,3,702-86-0212
False,4,518-73-2650
False,0,638-61-6236
True,9,385-11-9231
False,5,383-01-7915
False,3,621-59-2037
False,6,702-35-5199
False,6,133-76-9980
False,6,722-13-1559
False,1,794-14-7611
False,3,736-30-6536
True,7,474-94-4178
False,5,258-04-9100
False,9,698-68-8662
True,8,434-47-5313
False,3,807-87-7741
False,0,846-62-7528
False,5,373-22-2553
False,5,144-09-7049
False,5,759-39-5774
True,10,739-14-8649
False,0,355-39-8011
True,9,416-24-6175
True,0,729-19-3997
False,0,498-34-1001
,0,225-19-5426
False,3,306-17-6404
True,9,604-53-9580
False,2,468-81-8421
True,10,533-52-0945
False,10,827-36-1566
False,0,783-91-0608
False,9,405-36-5663
True,7,828-79-3081
False,10,844-55-0796
True,9,676-40-7651
True,10,406-24-0242
True,10,169-18-4591
False,1,530-16-5863
True,9,815-81-5783
False,5,645-51-2881
False,3,838-43-1035
False,0,334-75-0948
False,5,891-38-4618
False,2,191-10-9374
False,2,825-68-9620
False,0,657-08-8185
False,5,757-44-6583
True,8,359-20-6066
False,1,181-69-8791
False,2,641-50-5854
True,8,789-26-3907
False,4,420-63-8540
False,0,883-38-5155
True,8,339-08-3940
False,4,233-66-8939
False,10,187-10-0583
,0,843-49-4044
True,10,625-86-1282
True,9,236-68-0503
True,10,468-94-1256
False,4,544-17-0142
True,9,377-75-7054
True,8,588-01-7355
True,8,600-71-0171
True,10,687-36-0868
False,6,702-36-7404
False,0,577-64-6476
False,5,318-40-7190
,5,850-34-4001
True,9,737-42-9980
True,1,842-30-9015
True,10,869-67-1542
True,10,752-97-6943
True,9,529-78-3536
False,4,834-05-0073
,9,486-95-9763
False,4,369-58-2985
False,1,520-28-5782
,8,396-06-0819
True,4,298-43-7002
False,7,604-16-3875
True,9,714-85-6269
True,7,605-84-5167
False,5,317-82-3916
True,10,664-78-8398
False,0,416-37-4708
False,4,706-28-6825
False,2,177-48-7479
False,1,853-82-1738
False,1,316-46-3505
,3,646-91-4839
True,8,642-01-2780
True,9,838-01-8569
False,4,382-45-2870
True,7,519-95-7048
False,5,790-94-9742
True,9,189-73-3796
True,0,226-18-7012
True,10,451-29-6730
False,7,221-18-5492
False,6,282-19-9434
,3,768-70-0839
False,4,208-35-8457
False,0,556-48-7753
True,4,453-50-0264
True,2,225-22-5384
True,10,801-98-3103
True,2,791-43-3785
False,1,491-84-7808
False,3,280-84-3829
True,7,510-46-5022
True,8,709-76-0564
False,6,382-02-5152
False,1,501-44-6089
False,3,122-88-9131
False,6,677-33-7669
False,2,179-71-6679
False,5,287-59-9017
False,3,610-04-7733
,4,330-32-5823
False,6,469-57-5347
False,1,849-22-5087
,10,812-59-7066
,10,779-86-0891
True,8,750-78-7505
False,5,372-79-4813
False,4,292-27-6875
True,7,493-82-6841
True,10,707-31-8877
False,6,878-02-2665
,6,672-20-3043
True,7,422-67-4992
False,4,372-60-5402
True,10,792-67-5619
False,2,894-32-7694
True,7,247-30-0740
,2,219-33-1461
False,6,542-86-4508
False,1,637-79-2439
False,3,220-79-7621
False,0,609-53-1140
False,5,197-10-5300
False,3,493-50-1049
True,9,738-39-3202
False,5,409-19-2866
True,9,155-89-7557
False,10,659-01-0008
True,7,454-47-1584
False,2,193-58-9936
True,9,514-38-3858
True,8,298-34-1859
True,7,557-49-6824
False,3,283-27-9431
True,10,359-06-6638
False,3,254-42-3932
True,8,457-25-7403
False,6,319-29-5456
False,1,856-11-7648
False,1,269-57-2331
False,2,299-22-0771
True,7,386-36-1503
False,3,341-06-4111
False,4,577-78-4265
False,7,747-10-7242
True,0,373-03-1601
False,3,805-95-6067
False,2,689-14-9944
True,8,360-78-9074
False,1,459-55-4950
False,10,114-24-9527
True,7,845-72-6339
False,0,305-38-8791
True,7,509-54-6455
False,3,845-54-1369
False,2,561-13-0572
False,1,615-47-3243
,10,519-18-8053
False,0,615-58-0494
True,10,338-94-2471
False,5,660-42-9796
False,5,198-75-5714
False,2,757-64-6100
True,6,142-92-5858
True,6,602-72-3092
True,7,387-41-4760
True,6,823-33-7499
,8,141-99-6737
,9,284-39-8658
,4,455-36-9655
False,2,267-98-9203
True,9,247-85-8275
True,0,385-08-2946
False,0,192-52-9074
True,3,385-94-6416
True,7,875-85-1033
True,1,204-93-8823
True,7,278-19-9291
True,9,401-65-0055
True,7,286-97-1546
False,5,574-08-7015
,1,668-07-0658
False,2,764-05-9819
True,10,475-04-4400
False,4,832-78-9349
True,9,463-57-4672
False,5,782-20-9771
True,7,671-59-7830
True,7,378-65-5641
False,2,221-96-2958
,2,316-71-6950
,1,376-89-7539
True,8,523-08-7182
False,5,159-19-9697
False,3,292-41-9541
False,1,226-45-1123
True,7,178-47-5856
True,6,855-16-1378
True,6,379-31-8303
True,7,134-28-1983
False,4,310-30-2009
False,4,771-52-1419
True,8,810-10-0456
False,3,605-61-5879
,3,732-95-3068
False,1,325-14-0356
False,0,276-10-4503
False,2,875-33-9591
False,3,471-17-3462
False,8,181-72-7880
True,8,592-26-9211
False,7,400-91-2993
False,5,813-76-3770
True,8,405-68-5771
True,6,631-47-2016
True,9,442-52-4940
False,1,287-62-5032
False,1,649-95-6007
False,0,348-87-5747
False,2,226-28-2542
False,1,156-08-9792
True,10,255-52-6119
False,4,469-49-3263
True,10,237-74-3181
False,2,885-52-9404
True,10,637-98-7915
True,8,557-49-2211
False,3,801-96-7328
False,0,434-83-5106
,7,758-82-2648
True,9,482-24-2876
,8,754-99-8481
True,8,370-74-0109
False,2,853-39-8342
True,0,461-65-7826
True,10,267-14-3539
False,5,266-68-4843
True,1,300-17-2433
False,0,499-19-2935
True,6,268-01-0112
False,5,818-82-2922
,8,526-24-2726
,8,849-39-4459
True,1,568-71-4593
False,4,243-22-9109
True,6,218-71-2747
False,5,258-36-3330
False,3,247-27-4089
False,3,847-29-3734
True,9,474-92-5499
True,6,164-93-1768
True,8,799-84-8347
True,6,894-45-9099
True,9,871-19-5187
,8,138-71-8878
False,1,166-93-3322
True,7,880-68-5879
True,6,173-62-5006
False,0,857-59-3937
False,5,158-96-3928
True,3,142-08-5289
False,4,318-97-2868
False,2,581-51-1056
,5,236-52-2605
True,7,715-97-3061
True,9,247-44-6452
False,3,884-45-3122
True,10,777-59-5274
True,5,473-63-5853
False,2,880-37-3031
True,9,417-88-9995
False,2,754-01-2978
False,5,216-37-5595
False,2,489-41-5362
False,3,484-37-3692
False,2,372-88-3127
False,5,238-51-4705
False,4,848-41-9312
False,5,487-28-4004
True,6,546-66-6552
True,7,655-30-7531
False,5,728-10-6644
False,2,465-09-8239
True,9,147-97-1315
False,4,868-80-8212
False,4,356-40-8179
True,6,594-77-8909
True,6,879-76-0084
True,3,383-80-9413
False,3,684-83-6171
True,8,163-35-9570
,10,223-92-3140
True,7,298-98-9384
True,9,201-51-4726
False,5,807-49-0848
True,6,183-56-5841
False,1,657-93-7202
True,10,388-69-8618
True,9,880-33-7385
True,10,202-96-5392
True,6,531-47-6007
False,4,278-72-5383
True,6,492-65-3100
,10,122-05-0060
False,5,357-47-1247
True,10,220-09-7805
False,2,615-41-1435
True,7,870-91-0509
,7,897-99-0715
True,8,114-23-6714
True,6,574-79-4419
True,2,275-85-5563
False,5,600-18-9008
True,6,670-83-1649
True,10,477-96-4668
False,5,626-57-1702
True,7,457-04-4074
False,4,570-55-2325
False,5,450-52-2667
False,6,565-04-8451
False,8,480-53-6770
False,0,844-99-9940
False,5,268-46-4872
True,9,204-67-4737
True,0,117-40-5630
False,5,488-56-1639
True,6,197-43-5348
False,0,507-12-2324
False,5,203-54-7177
True,6,648-30-4816
True,6,654-54-3815
False,5,494-89-2265
False,0,276-27-8930
True,8,160-92-0782
True,9,799-17-8756
False,1,689-16-5711
False,2,262-15-5059
,6,510-04-6955
False,2,429-28-9762
True,6,691-82-4775
,10,190-55-7419
True,6,435-76-8193
True,7,753-31-9174
True,8,208-88-1929
False,7,667-18-5302
False,0,762-48-2567
,10,743-44-6110
False,8,798-18-3426
True,7,404-61-4770
True,6,690-71-7721
False,3,287-26-2958
True,2,156-92-1563
False,0,505-10-5673
False,2,264-24-7610
True,9,332-89-6143
False,4,811-54-3201
False,0,811-27-9104
False,5,632-67-4279
,6,601-08-1172
True,7,192-81-3331
False,4,560-37-7627
True,9,278-10-3426
True,7,657-67-7218
True,9,231-23-6842
False,2,539-50-9146
True,2,547-49-1646
False,1,774-61-2207
True,6,776-23-3827
False,2,473-42-8092
False,10,669-47-6740
False,6,397-94-7759
True,9,593-79-9200
False,2,793-10-5749
True,6,196-94-3818
False,2,148-41-6031
True,6,783-87-4851
,3,757-71-0051
True,5,724-27-2944
True,2,813-95-4381
False,0,348-80-9112
False,1,790-88-9238
False,0,172-65-9492
True,8,566-47-6961
True,7,657-81-5671
True,7,898-21-3384
True,9,391-74-7542
True,7,105-43-6633
True,7,854-04-5118
True,6,208-35-3026
True,9,281-81-5971
,10,635-02-4050
False,5,355-53-4396
True,3,577-25-5288
False,8,434-85-3581
True,4,288-94-8537
False,6,595-37-2803
False,2,253-52-6655
True,9,292-44-2926
,5,529-60-5031
False,2,269-73-1801
True,9,285-45-2518
True,9,401-86-6981
False,2,636-70-4325
False,0,577-02-9473
False,4,315-33-0650
True,2,830-71-0311
False,0,436-68-0413
False,1,243-22-0757
True,10,786-54-2583
,1,679-93-1940
True,8,780-48-1386
True,10,290-29-0576
True,6,181-08-1001
True,6,185-94-9129
False,5,134-03-6488
False,5,333-13-6102
True,10,663-47-7483
False,3,522-76-8251
False,0,111-92-5544
False,3,117-75-6829
,0,866-24-1223
True,3,620-15-4987
False,8,753-69-7569
False,3,418-38-7158
,0,616-26-5041
,0,641-98-8681
True,8,415-06-1861
True,9,764-18-1020
True,9,173-21-9576
False,0,233-32-0280
True,7,314-62-6694
True,10,863-29-2663
False,0,406-55-4224
True,7,474-46-3513
False,2,475-58-6235
True,0,382-35-1039
True,1,174-84-8112
False,2,123-21-7838
False,3,302-31-0222
True,6,761-57-4527
False,0,843-22-8815
False,2,526-26-2486
True,2,235-62-0230
False,0,819-11-5314
False,3,250-75-1381
False,2,328-62-8330
,3,589-50-0500
True,7,718-97-7242
False,6,649-08-9778
True,3,442-40-3873
False,4,546-13-4909
False,5,639-47-8631
False,3,539-84-5610
True,0,249-38-9137
True,1,274-95-7897
,8,589-54-6553
True,7,432-71-3773
True,8,448-65-8677
False,4,572-05-1310
True,8,831-13-4196
True,8,736-67-5893
True,10,721-79-1303
False,3,561-35-7043
False,10,582-51-4720
False,0,582-83-9526
False,7,316-36-4484
False,1,645-09-3180
False,1,560-24-5026
False,4,663-58-4062
True,7,782-54-7715
True,7,355-62-7321
False,4,659-86-5687
False,5,724-54-0805
False,4,132-70-8619
True,1,235-93-2151
True,8,166-20-4625
,9,347-31-1632
False,5,657-11-6953
True,9,504-63-4976
False,4,447-46-5130
True,10,316-01-4957
True,7,293-19-0612
False,3,846-07-3033
True,7,511-07-3644
True,8,858-34-2708
False,0,818-89-8494
False,5,185-55-9567
,1,548-87-8155
True,3,329-66-7294
False,10,548-79-9475
False,2,606-55-9588
True,9,852-65-4665
False,5,275-56-0001
False,1,366-80-1510
False,1,728-46-3622
False,6,890-85-1167
True,9,380-30-7894
False,2,719-27-0552
True,2,763-89-2417
True,7,749-81-9902
False,3,649-83-4601
False,2,440-23-4520
False,2,491-07-2750
True,7,122-97-7326
True,8,461-58-0297
True,9,592-36-1774
True,7,193-08-6387
False,1,458-35-9525
False,2,729-89-1503
True,8,131-34-5619
False,2,767-65-2902
False,3,465-65-2723
False,4,768-21-4609
True,8,163-57-4408
False,3,677-93-2052
