,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income-per-year
14214,32,Private,167106,HS-grad,9,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,40,Hong,<=50K
23012,64,Self-emp-inc,307786,1st-4th,2,Married-civ-spouse,Sales,Husband,White,Male,0,0,20,United-States,<=50K
4984,27,Private,194652,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
30559,27,Private,141545,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1902,45,United-States,<=50K
10130,27,Private,146460,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
13173,39,Private,158962,Some-college,10,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K
31715,22,State-gov,124942,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,45,United-States,<=50K
605,48,Private,45612,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,37,United-States,<=50K
15679,45,Local-gov,188823,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
24165,19,Private,205830,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,El-Salvador,<=50K
6181,50,Private,178530,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
16271,31,Private,184306,Assoc-voc,11,Never-married,Transport-moving,Own-child,White,Male,0,1980,60,United-States,<=50K
31513,57,Private,132704,Masters,14,Separated,Prof-specialty,Not-in-family,White,Male,10520,0,32,United-States,>50K
3676,44,Private,100584,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
18780,26,Private,142506,Bachelors,13,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,35,United-States,<=50K
13292,32,Private,252752,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,13550,0,60,United-States,>50K
20942,44,Private,214415,Some-college,10,Separated,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,<=50K
18193,52,Private,110748,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
5063,44,Private,111067,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
7312,60,Local-gov,232769,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20,United-States,<=50K
11900,32,Private,236543,12th,8,Divorced,Protective-serv,Own-child,White,Male,0,0,54,Mexico,<=50K
20022,21,Private,293968,Some-college,10,Married-spouse-absent,Sales,Own-child,Black,Female,0,0,20,United-States,<=50K
2800,47,Private,168283,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
1726,55,Private,199067,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
31537,23,Private,161478,Some-college,10,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
1632,40,State-gov,345969,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
15067,51,Local-gov,74784,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
23815,71,Self-emp-inc,66624,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,60,United-States,>50K
32349,36,Private,250807,11th,7,Never-married,Craft-repair,Not-in-family,Black,Female,0,0,40,United-States,<=50K
5739,20,Private,329530,9th,5,Never-married,Priv-house-serv,Own-child,White,Male,0,0,40,Mexico,<=50K
31767,19,Private,183532,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,25,United-States,<=50K
22626,39,Private,122032,Assoc-voc,11,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
5973,32,Private,165226,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
20307,47,Self-emp-not-inc,26145,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
3239,17,,110998,Some-college,10,Never-married,,Own-child,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
8437,43,Private,115323,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,40,United-States,>50K
32263,27,Private,176761,HS-grad,9,Never-married,Craft-repair,Other-relative,Other,Male,0,0,40,Nicaragua,<=50K
6778,51,Private,180807,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
22143,26,Private,212798,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K
