id,first_name,last_name,race,county,num_children,income,age_group,ssn
1,Tabby,Ward,race3,county3,1,159027.0,group3,670-18-6875
4,Romy,Hawkins,race3,county1,0,8868.0,group3,117-52-3454
6,Cozmo,Frank,race1,county3,3,120171.75,group3,751-43-6257
8,Georgeanna,Frank,race1,,2,220113.0,group3,844-92-1943
13,Pepe,Le,race1,,4,87996.0,group3,421-81-5857
17,Devonna,Elliott,,county4,3,121710.0,group3,527-20-0150
18,Kelcie,Hawkins,,county1,2,352186.5,group3,709-91-9697
21,Brady,Watson,race2,,1,12029.25,group3,582-90-4020
25,Munroe,Cervantes,race1,county4,4,333417.0,group3,551-10-6630
32,Pieter,Wilkerson,race1,county2,1,241864.5,group3,530-73-1817
40,Dawna,Frank,race1,,4,68856.0,group3,351-52-2403
41,Caritta,Lawson,race2,county1,0,202414.5,group3,432-23-4017
45,Napoleon,Elliott,race1,county4,3,39288.0,group3,458-83-1719
46,Carlo,Casey,race3,county1,5,35377.5,group3,872-62-5569
47,Tate,Hawkins,race1,county3,4,207534.0,group3,223-06-0077
49,Mariquilla,Wilkerson,race1,county2,1,153892.5,group3,311-26-7830
56,Sandra,Pollard,race1,county1,5,273327.0,group3,741-93-8258
62,Seana,Hoffman,race1,,2,105752.25,group3,629-47-1089
64,Rhiamon,Brooks,race2,county4,0,108538.5,group3,657-69-6892
65,Suzanna,Lawson,race2,county4,4,224224.5,group3,657-91-9085
66,Tandi,Cannon,,,4,203803.5,group3,506-60-2619
70,Alia,Frank,race3,county1,3,35792.25,group3,550-83-6815
76,Kelley,Frank,race1,county1,5,190562.25,group3,215-11-3793
77,Adrea,Casey,race1,county3,5,106047.0,group3,181-72-1543
78,Krystal,Quinn,race1,county4,2,182653.5,group3,824-47-5103
82,Alyda,Lawson,race3,county1,3,98346.0,group3,340-22-2681
84,Elenore,Hawkins,race2,,2,116710.5,group3,853-02-0568
88,Aland,Owen,race2,,5,163688.25,group3,630-12-1329
90,Padraig,Cervantes,race1,county3,3,181867.5,group3,229-96-1572
93,Harman,Cannon,race3,,3,114751.5,group3,132-48-1686
96,Angelo,Watson,race3,,5,110407.5,group3,888-02-3075
97,Gavin,Frank,race3,county1,5,245952.0,group3,819-49-2589
99,Zack,Watson,race3,,0,207811.5,group3,118-95-4547
100,Dorisa,Ward,race1,,4,188124.0,group3,375-12-3144
104,Suellen,Brooks,race1,,2,133746.75,group3,667-51-4751
107,Chris,Brooks,race1,county1,3,81722.25,group3,166-53-0082
111,Roy,Ward,race3,county1,1,135936.0,group3,716-33-8942
112,Kipp,Hawkins,race3,county1,4,398881.5,group3,755-04-4013
123,Silas,Waters,race1,county3,2,163705.5,group3,397-47-1680
124,Lemuel,Kirk,race2,county3,2,183589.5,group3,192-83-9654
127,Dorena,Quinn,race2,,5,341922.0,group3,617-21-4898
135,Dotti,Lawson,race2,county3,1,85912.5,group3,158-02-4468
143,Duky,Pollard,race2,county1,5,262923.0,group3,413-42-5774
152,Gussi,Quinn,race1,county3,1,166221.75,group3,512-95-4473
155,Danya,Watson,,,0,9186.0,group3,453-12-2767
156,Augustine,Casey,race2,,2,351619.5,group3,608-88-6768
157,Sigfrid,Cervantes,race1,county3,5,429784.5,group3,178-93-5755
158,Flem,Quinn,race1,county1,0,396643.5,group3,402-30-9370
161,Daven,Casey,race1,,0,96526.5,group3,259-80-6060
162,Melessa,Owen,race2,,1,217564.5,group3,797-41-8609
165,Keri,Quinn,race3,,4,184824.0,group3,509-77-9186
169,Milo,Cervantes,race1,county2,4,47880.75,group3,242-55-2069
170,Angelico,Owen,race1,,1,373275.0,group3,696-46-0372
171,Hulda,Le,race2,county2,1,57738.75,group3,325-65-1771
175,Margarete,Le,race2,county4,5,17629.5,group3,619-65-6243
177,Sheila-kathryn,Ward,race3,county1,5,44048.25,group3,364-43-6353
182,Brook,Quinn,race2,county1,1,147181.5,group3,535-21-6955
187,Theadora,Quinn,race1,,1,210821.25,group3,260-37-3239
192,Parker,Hoffman,race1,county2,5,114957.0,group3,685-18-8668
196,Modesta,Frank,race1,county3,2,75981.75,group3,877-50-4332
203,Julietta,Lawson,race3,county4,4,71409.0,group3,824-70-4832
207,Kimbell,Hawkins,race3,county3,5,50180.25,group3,670-70-2641
210,Dillon,Watson,race2,county1,4,72269.25,group3,715-27-8581
211,Annabella,Cervantes,race2,county4,3,78904.5,group3,335-40-6249
212,Aloin,Scott,race3,county1,3,17906.25,group3,425-44-1164
222,Hatti,Lawson,race2,county3,1,111388.5,group3,362-02-7471
